"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"446Z7Z5H","journalArticle","2015","Park, Jinhee; Baik, Jongmoon","Improving software reliability prediction through multi-criteria based dynamic model selection and combination","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2014.12.029","http://www.sciencedirect.com/science/article/pii/S0164121214002878","In spite of much research efforts to develop software reliability models, there is no single model which is appropriate in all circumstances. Accordingly, some recent studies on software reliability have attempted to use existing models more effectively in practice (e.g., model selection and combination). However, it is not easy to identify which model is likely to make the most trustworthy predictions and to assign appropriate weights to models for the combination. The improper model selection or weight assignment often causes unsuccessful software reliability prediction in practice, which leads to cost/schedule overrun. In this paper, we propose a systematic reliability prediction framework which dynamically selects and combines multiple software reliability models based on the decision trees learning of multi-criteria. For the model selection, the proposed approach uses the empirical patterns of multi-criteria derived from models. Reduced error pruning decision tree identifies the models with the best predictive patterns and automatically assign a weight to each model. Then, the identified models fall into two groups according to the likelihood of over- or under-prediction, and the competitive models from each group are combined based on their given weights. From the evaluation results, our approach outperformed existing methods on average prediction accuracy.","2015-03","2016-04-04 11:25:25","2016-04-05 13:33:43","2016-04-04 11:25:25","236-244","","","101","","Journal of Systems and Software","","","","","","","","","","","","","ScienceDirect","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/XZZW4NRM/Park e Baik - 2015 - Improving software reliability prediction through .pdf; /home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/XXC3JKMU/S0164121214002878.html","","","Decision trees; Multi criteria; Software reliability prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EFEXMSE","bookSection","2011","Folino, Francesco; Pizzuti, Clara","Combining Markov Models and Association Analysis for Disease Prediction","Information Technology in Bio- and Medical Informatics","978-3-642-23207-7 978-3-642-23208-4","","","http://link.springer.com/chapter/10.1007/978-3-642-23208-4_4","An approach for disease prediction that combines clustering, Markov models and association analysis techniques is proposed. Patient medical records are clustered and a Markov model for each cluster is generated to perform prediction of illnesses a patient could likely be affected in the future. However, when the probability of the most likely state in the Markov models is not sufficiently high, it resorts to sequential association analysis, by considering the items induced by high confidence rules generated by recurring sequential disease patterns. Experimental results show that the combination of different models enhances predictive accuracy and is a feasible way to diagnose diseases.","2011-08-31","2016-04-04 10:53:53","2016-04-04 10:53:53","2016-04-03 16:28:42","39-52","","","","","","","","","","","Springer Berlin Heidelberg","","en","©2011 Springer-Verlag Berlin Heidelberg","","","","link.springer.com","","","","","http://link.springer.com/chapter/10.1007/978-3-642-23208-4_4","","Computational Biology/Bioinformatics; Database Management; Data Mining and Knowledge Discovery; Information Storage and Retrieval; Information Systems Applications (incl. Internet)","Böhm, Christian; Khuri, Sami; Lhotská, Lenka; Pisanti, Nadia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIZGKS46","journalArticle","2011","Kurozumi, Eiji; Tuvaandorj, Purevdorj","Model selection criteria in multivariate models with multiple structural changes","Journal of Econometrics","","0304-4076","10.1016/j.jeconom.2011.04.003","http://www.sciencedirect.com/science/article/pii/S0304407611000820","This paper considers the issue of selecting the number of regressors and the number of structural breaks in multivariate regression models in the possible presence of multiple structural changes. We develop a modified Akaike information criterion (AIC), a modified Mallows’ C p criterion and a modified Bayesian information criterion (BIC). The penalty terms in these criteria are shown to be different from the usual terms. We prove that the modified BIC consistently selects the regressors and the number of breaks whereas the modified AIC and the modified C p criterion tend to overfit with positive probability. The finite sample performance of these criteria is investigated through Monte Carlo simulations and it turns out that our modification is successful in comparison to the classical model selection criteria and the sequential testing procedure robust to heteroskedasticity and autocorrelation.","2011-10-01","2016-04-04 11:25:25","2016-04-05 13:33:46","2016-04-04 11:25:25","218-238","","2","164","","Journal of Econometrics","","","","","","","","","","","","","ScienceDirect","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/TJUBBPQ3/Kurozumi e Tuvaandorj - 2011 - Model selection criteria in multivariate models wi.pdf; /home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/HBNMFMMQ/S0304407611000820.html","","","AIC; BIC; Information criteria; Mallows’ Cp; Structural breaks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXQ9SH7G","bookSection","2006","Yang, Ying; Webb, Geoff; Cerquides, Jesús; Korb, Kevin; Boughton, Janice; Ting, Kai Ming","To Select or To Weigh: A Comparative Study of Model Selection and Model Weighing for SPODE Ensembles","Machine Learning: ECML 2006","978-3-540-45375-8 978-3-540-46056-5","","","http://link.springer.com/chapter/10.1007/11871842_50","An ensemble of Super-Parent-One-Dependence Estimators (SPODEs) offers a powerful yet simple alternative to naive Bayes classifiers, achieving significantly higher classification accuracy at a moderate cost in classification efficiency. Currently there exist two families of methodologies that ensemble candidate SPODEs for classification. One is to select only helpful SPODEs and uniformly average their probability estimates, a type of model selection. Another is to assign a weight to each SPODE and linearly combine their probability estimates, a methodology named model weighing. This paper presents a theoretical and empirical study comparing model selection and model weighing for ensembling SPODEs. The focus is on maximizing the ensemble’s classification accuracy while minimizing its computational time. A number of representative selection and weighing schemes are studied, providing a comprehensive research on this topic and identifying effective schemes that provide alternative trades-off between speed and expected error.","2006-09-18","2016-04-04 10:53:25","2016-04-04 10:53:25","2016-04-03 16:28:42","533-544","","","","","","To Select or To Weigh","","","","","Springer Berlin Heidelberg","","en","©2006 Springer-Verlag Berlin Heidelberg","","","","link.springer.com","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/3QKV87FG/2006_select-or-weigh_ying.pdf; ","http://link.springer.com/chapter/10.1007/11871842_50","","Algorithm Analysis and Problem Complexity; Artificial Intelligence (incl. Robotics); Database Management; Mathematical Logic and Formal Languages","Fürnkranz, Johannes; Scheffer, Tobias; Spiliopoulou, Myra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHPFCD3F","journalArticle","2012","Elrod, Terry; Häubl, Gerald; Tipps, Steven W.","Parsimonious Structural Equation Models for Repeated Measures Data, with Application to the Study of Consumer Preferences","Psychometrika","","0033-3123, 1860-0980","10.1007/s11336-012-9260-x","http://link.springer.com/article/10.1007/s11336-012-9260-x","Recent research reflects a growing awareness of the value of using structural equation models to analyze repeated measures data. However, such data, particularly in the presence of covariates, often lead to models that either fit the data poorly, are exceedingly general and hard to interpret, or are specified in a manner that is highly data dependent. This article introduces methods for developing parsimonious models for such data. The underlying technology uses reduced-rank representations of the variances, covariances and means of observed and latent variables. The value of this approach, which may be implemented using standard structural equation modeling software, is illustrated in an application study aimed at understanding heterogeneous consumer preferences. In this application, the parsimonious representations characterize systematic relationships among consumer demographics, attitudes and preferences that would otherwise be undetected. The result is a model that is parsimonious, illuminating, and fits the data well, while keeping data dependence to a minimum.","2012-03-09","2016-04-04 10:53:20","2016-04-04 10:53:20","2016-04-03 16:28:42","358-387","","2","77","","Psychometrika","","","","","","","","en","","","","","link.springer.com","","","","","http://link.springer.com/article/10.1007/s11336-012-9260-x","","Assessment, Testing and Evaluation; conjoint analysis; consumer preferences; LU decomposition; matrix approximation; multilevel latent variable models; multilevel models; Psychometrics; random coefficients; random effects; reduced-rank regression; second-order factor analysis; singular value decomposition; Statistical Theory and Methods; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; structural equation models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRAU2KP4","journalArticle","2013","Yadav, Vineet; Mueller, Kimberly L.; Michalak, Anna M.","A backward elimination discrete optimization algorithm for model selection in spatio-temporal regression models","Environmental Modelling & Software","","1364-8152","10.1016/j.envsoft.2012.12.009","http://www.sciencedirect.com/science/article/pii/S1364815212003155","Regression models are used in geosciences to extrapolate data and identify significant predictors of a response variable. Criterion approaches based on the residual sum of squares (RSS), such as the Akaike Information Criterion, Bayesian Information Criterion (BIC), Deviance Information Criterion, or Mallows' Cp can be used to compare non-nested models to identify an optimal subset of covariates. Computational limitations arise when the number of observations or candidate covariates is large in comparing all possible combinations of the available covariates, and in characterizing the covariance of the residuals for each examined model when the residuals are autocorrelated, as is often the case in spatial and temporal regression analysis. This paper presents computationally efficient algorithms for identifying the optimal model as defined using any RSS-based model selection criterion. The proposed dual criterion optimal branch and bound (DCO B&amp;B) algorithm is guaranteed to identify the optimal model, while a single criterion heuristic (SCH) B&amp;B algorithm provides further computational savings and approximates the optimal solution. These algorithms are applicable both to multiple linear regression (MLR) and to response variables with correlated residuals. We also propose an approach for iterative model selection, where a single set of covariance parameters is used in each iteration rather than a different set of parameters being used for each examined model. Simulation experiments are performed to evaluate the performance of the algorithms for regression models, using MLR and geostatistical regression as prototypical regression tools and BIC as a prototypical model selection approach. Results show massive computational savings using the DCO B&amp;B algorithm relative to performing an exhaustive search. The SCH B&amp;B is shown to provide a good approximation of the optimal model in most cases, while the DCO B&amp;B with iterative covariance parameter optimization yields the closest approximation to the DCO B&amp;B algorithm while also providing additional computational savings.","2013-04","2016-04-04 11:25:25","2016-04-05 13:34:21","2016-04-04 11:25:25","88-98","","","42","","Environmental Modelling & Software","","","","","","","","","","","","","ScienceDirect","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/M8SRRR4Z/Yadav et al. - 2013 - A backward elimination discrete optimization algor.pdf; /home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/NGM94QJ9/S1364815212003155.html","","","Algorithm; Branch and bound; Discrete optimization; Model selection; Spatio-temporal regression models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RE4PTEXA","journalArticle","2003","Arumugam, S.; Gao, Guanghua; Patton, Brian L.; Semenchenko, Valentyna; Brew, Keith; Van Doren, Steven R.","Increased Backbone Mobility in β-Barrel Enhances Entropy Gain Driving Binding of N-TIMP-1 to MMP-3","Journal of Molecular Biology","","0022-2836","10.1016/S0022-2836(03)00180-3","http://www.sciencedirect.com/science/article/pii/S0022283603001803","The high-affinity inhibition of stromelysin 1 (MMP-3) by tissue inhibitor of metalloproteinases 1 (TIMP-1) helps control tissue remodeling and tumor development. The interaction of N-TIMP-1 with the catalytic domain of MMP-3 has been investigated by titration calorimetry and 15N NMR. Their unfavorable enthalpy of binding of +6.5 kcal mol−1 is unusual among protein–protein associations, deviates from structure-based prediction, and is compensated by a net entropy increase providing at least 18 kcal mol−1 of favorable free energy of binding at a 1 M reference state. The small heat capacity of binding agrees well with the heat capacity predicted from 65% of the surface buried on binding being polar, and suggests that the hydrophobic effect can account for only part of the entropy of binding. Using NMR, binding-induced changes in the backbone of N-TIMP-1 were checked as one possible source of conformational entropy changes. MMP binding slightly increases rigidity in some contact sites in TIMP-1 but increases mobility remotely in the otherwise rigid β-barrel core of N-TIMP-1, increasing 15N relaxation evidence of pico- to nanosecond and micro- to millisecond fluctuations of β-strands A–F. Residual dipolar couplings suggest dynamic deviations from X-ray coordinates of the complex. These suggest that the β-barrel has small backbone conformational fluctuations, while segments of strands βB, βE and βF might experience fluctuations only in their backbone environment. This is a distinctive example of affinity between two well-structured proteins being enhanced by increased conformational entropy in the reservoir of a folding core.","2003-03-28","2016-04-04 11:25:25","2016-04-05 13:33:45","2016-04-04 11:25:25","719-734","","3","327","","Journal of Molecular Biology","","","","","","","","","","","","","ScienceDirect","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/X92R3QCK/Arumugam et al. - 2003 - Increased Backbone Mobility in β-Barrel Enhances E.pdf; /home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/7VKIZUE8/S0022283603001803.html","","","backbone dynamics; protein–protein interactions; residual dipolar couplings; structure-based thermodynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKDADBC8","bookSection","2015","Huang, Jing-Zhi; Shi, Zhan; Zhong, Wei","Model Selection for High-Dimensional Problems","Handbook of Financial Econometrics and Statistics","978-1-4614-7749-5 978-1-4614-7750-1","","","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-7750-1_77","High-dimensional data analysis is becoming more and more important to both academics and practitioners in finance and economics but is also very challenging because the number of variables or parameters in connection with such data can be larger than the sample size. Recently, several variable selection approaches have been developed and used to help us select significant variables and construct a parsimonious model simultaneously. In this chapter, we first provide an overview of model selection approaches in the context of penalized least squares. We then review independence screening, a recently developed method for analyzing ultrahigh-dimensional data where the number of variables or parameters can be exponentially larger than the sample size. Finally, we discuss and advocate multistage procedures that combine independence screening and variable selection and that may be especially suitable for analyzing high-frequency financial data. Penalized least squares seek to keep important predictors in a model while penalizing coefficients associated with irrelevant predictors. As such, under certain conditions, penalized least squares can lead to a sparse solution for linear models and achieve asymptotic consistency in separating relevant variables from irrelevant ones. Independence screening selects relevant variables based on certain measures of marginal correlations between candidate variables and the response.","2015","2016-04-04 10:53:33","2016-04-04 10:53:33","2016-04-03 16:28:42","2093-2118","","","","","","","","","","","Springer New York","","en","©2015 Springer Science+Business Media New York","","","","link.springer.com","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/HT897MEX/2015_model-selection-high-dim_huang.pdf; ","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-7750-1_77","","Dimension reduction; Econometrics; Finance, general; Generalized correlations; High-dimensional data; Independence screening; LASSO; Model selection; Oracle property; Penalized least squares; Quantitative Finance; SCAD penalty; Shrinkage; Statistical learning; Statistics for Business/Economics/Mathematical Finance/Insurance; Ultrahigh-dimensional data; Variable selection","Lee, Cheng-Few; Lee, John C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZPJEURT","bookSection","1997","Waugh, Sam; Menzies, Tim; Goss, Simon","Evaluating a qualitative reasoner","Advanced Topics in Artificial Intelligence","978-3-540-63797-4 978-3-540-69649-0","","","http://link.springer.com/chapter/10.1007/3-540-63797-4_104","In order to support verification, validation and analysis of dynamic Operations Research (OR) models a method of testing models against data is required. In the case of the QCM qualitative reasoning system (QRS) this requires an extension to accommodate temporal data streams. This paper examines a number of temporal reasoning methods for QCM. On the basis of this a general methodology for evaluating QRSs and a statement of success criteria have been developed, and will be used in future work.","1997-11-30","2016-04-04 10:53:53","2016-04-04 10:53:53","2016-04-03 16:28:42","505-514","","","","","","","","","","","Springer Berlin Heidelberg","","en","©1997 Springer-Verlag","","","","link.springer.com","","","","","http://link.springer.com/chapter/10.1007/3-540-63797-4_104","","Artificial Intelligence (incl. Robotics)","Sattar, Abdul","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X65M3V7F","journalArticle","2012","Fogolari, Federico; Corazza, Alessandra; Viglino, Paolo; Esposito, Gennaro","Fast structure similarity searches among protein models: efficient clustering of protein fragments","Algorithms for Molecular Biology","","1748-7188","10.1186/1748-7188-7-16","http://link.springer.com/article/10.1186/1748-7188-7-16","Background For many predictive applications a large number of models is generated and later clustered in subsets based on structure similarity. In most clustering algorithms an all-vs-all root mean square deviation (RMSD) comparison is performed. Most of the time is typically spent on comparison of non-similar structures. For sets with more than, say, 10,000 models this procedure is very time-consuming and alternative faster algorithms, restricting comparisons only to most similar structures would be useful. Results We exploit the inverse triangle inequality on the RMSD between two structures given the RMSDs with a third structure. The lower bound on RMSD may be used, when restricting the search of similarity to a reasonably low RMSD threshold value, to speed up similarity searches significantly. Tests are performed on large sets of decoys which are widely used as test cases for predictive methods, with a speed-up of up to 100 times with respect to all-vs-all comparison depending on the set and parameters used. Sample applications are shown. Conclusions The algorithm presented here allows fast comparison of large data sets of structures with limited memory requirements. As an example of application we present clustering of more than 100000 fragments of length 5 from the top500H dataset into few hundred representative fragments. A more realistic scenario is provided by the search of similarity within the very large decoy sets used for the tests. Other applications regard filtering nearly-indentical conformation in selected CASP9 datasets and clustering molecular dynamics snapshots. Availability A linux executable and a Perl script with examples are given in the supplementary material (Additional file 1). The source code is available upon request from the authors.","2012-05-29","2016-04-04 10:53:26","2016-04-04 16:54:38","2016-04-03 16:28:42","1-10","","1","7","","Algorithms Mol Biol","Fast structure similarity searches among protein models","","","","","","","en","","","","","link.springer.com","","","","; ","http://link.springer.com/content/pdf/10.1186%2F1748-7188-7-16.pdf; http://link.springer.com/article/10.1186/1748-7188-7-16","","Algorithms; Bioinformatics; Computational Biology/Bioinformatics; Physiological, Cellular and Medical Topics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
