"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3BR3WUI9","conferencePaper","2014","Veni, C. V. K.; Rani, T. S.","Ensemble based classification using small training sets : A novel approach","Computational Intelligence in Ensemble Learning (CIEL), 2014 IEEE Symposium on","","","10.1109/CIEL.2014.7015738","","Classification is a supervised learning technique typically uses two-thirds of the given annotated data set for training and the remaining for test. In this paper, we developed a frame work which uses less than one-third of the data set for training and tests the remaining two-thirds of the data and still gives results comparable to other classifiers. To achieve good classification accuracy with small training sets, we focused on three issues: The first is that, one-third(30%) of the data should represent the entire data set. The second is on increasing the classification accuracy even with these small training sets, and the third issue is on taking care of deviations in the small training sets like noise or outliers. First issue is addressed by proposing three methods: divide the instances into 10 bins based on their distances from the centroid, based on their distance from a reference point 3/2(min+max) and a distribution specific binning. In all these methods, training sets are formed using stratified sampling approach which ensures that the samples chosen are from the entire distribution. Second issue is dealt with using the concept of ensemble based weighted majority voting for classification. Third issue is tackled by implementing four filters on training sets. The filters used are Removing Outliers using Inter Quartile Range option (available in Weka) and removing misclassified instances applying Naive Bayes, IB3, IB5 as filters. Experiments are conducted on seven binary andmulti-class data sets taking only 6% to 18% of the total data for training and implemented the proposed three methods without any filters for noise and outlier removal and with them too on the training sets.We compare our results with two popular ensemble methods ada-boost and bagging ensemble techniques, ENN, CNN, RNN instance selection methods. Empirical analysis shows that our three proposed methods yield comparable classification results to those available in literature which use smal- training sets.","2014-12","2016-04-04 11:15:54","2016-04-04 16:54:35","","1-8","","","","","","","","","","","","","","","","","","","","","","","","accuracy; ada-boost; annotated data set; Bagging; bagging ensemble technique; Bayes methods; binary class data set; classification accuracy; CNN instance selection method; Computational modeling; Data models; distribution specific binning; empirical analysis; ENN instance selection method; ensemble based classification; ensemble based weighted majority voting; Ensemble method; IB3; IB5; inter quartile range option; learning (artificial intelligence); misclassified instance; multiclass data set; naive bayes; noise; outlier removal; pattern classification; Prototypes; reference point; Representative set; RNN instance selection method; sampling methods; Stratified sampling; stratified sampling approach; supervised learning technique; Training; training set; Training Set Selection Methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IR5Q5EV","conferencePaper","2012","Langone, R.; Alzate, C.; Suykens, J. A. K.","Kernel spectral clustering for community detection in complex networks","Neural Networks (IJCNN), The 2012 International Joint Conference on","","","10.1109/IJCNN.2012.6252726","","This paper is related to community detection in complex networks. We show the use of kernel spectral clustering for the analysis of unweighted networks. We employ the primal-dual framework and make use of out-of-sample extension. In the latter the assignment rule for the new nodes is based on a model learned in the training phase. We propose a method to extract from a network a small subgraph representative for its overall community structure. We use a model selection procedure based on the modularity statistic which is novel, because modularity is commonly used only at a training level. We demonstrate the effectiveness of our model on synthetic networks and benchmark data from real networks (power grid network and protein interaction network of yeast). Finally, we compare our model with the Nystr�m method, showing that our approach is better in terms of quality of the discovered partitions and needs less computation time.","2012-06","2016-04-04 11:09:37","2016-04-04 16:54:44","","1-8","","","","","","","","","","","","","","","","","","","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/2X6TXAMU/2012_kernel-spectral-clustering-networks_langone.pdf","","Clustering algorithms; Communities; Community detection; complex networks; Computational modeling; graph theory; integral equations; kernel; kernel spectral clustering; Laplace equations; learning (artificial intelligence); Mathematical model; model selection procedure; modularity statistic; Nystr�m method; out-of-sample extension; pattern clustering; power grid network; primal-dual framework; subgraph representative; Training; training phase; unweighted network analysis; yeast protein interaction network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UH6RFFD","conferencePaper","2015","Guevara, E.; Meneses, H.; Arrieta, O.; Vilanova, R.; Visioli, A.; Padula, F.","Fractional order model identification: Computational optimization","2015 IEEE 20th Conference on Emerging Technologies Factory Automation (ETFA)","","","10.1109/ETFA.2015.7301630","","This paper deals with the identification of fractional models with one fractional parameter. This kind of models are capable to represent an extensive range of dynamics, including overdamped and oscillatory behaviors. The identification algorithm consists in applying an optimization function, starting from an initial point, that allows the program to calculate a very representative model of the process. The results demonstrate the usefulness and robustness of the tool, which can be employed to identify integer and fractional systems in an easy way and this can be later exploited for further studies, for example the development of tuning rules.","2015-09","2016-04-04 10:53:36","2016-04-04 10:53:36","","1-4","","","","","","Fractional order model identification","","","","","","","","","","","","IEEE Xplore","","","","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=7301630&action=search&sortType=&rowsPerPage=&matchBoolean=true&searchField=Search_All&queryText=(.QT.Representative%20Model.QT.%20AND%20(Clustering%20OR%20Optimization))&newsearch=true","","Approximation methods; Computational modeling; computational optimization; Control systems; fractional order model identification; fractional parameter; fractional system; identification algorithm; integer system; Mathematical model; optimisation; Optimization; optimization function; oscillatory behavior; overdamped behavior; parameter estimation; robustness; Transfer functions; tuning rule development; Yttrium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 IEEE 20th Conference on Emerging Technologies Factory Automation (ETFA)","","","","","","","","","","","","","","",""
"7DAJA94X","conferencePaper","2009","Bhat, S.; Lind, R.","Control-oriented analysis of thermal gradients for a hypersonic vehicle","American Control Conference, 2009. ACC '09.","","","10.1109/ACC.2009.5160180","","Structural damage resulting from the tremondous heating incurred during hypersonic flight is mitigated by a thermal protection system; however, such mitigation is accompanied by an increase in weight that can be prohibitive. The actual design of a thermal protection system can be chosen to vary the level of heating reduction, and associated weight, across the structure. This paper considers how such designs and resulting thermal gradients influence the ability to achieve closed-loop performance. A control architecture is used that damps any thermal effects for a range of temperature profiles. Various designs are considered for a representative model to show the large variation in flight dynamics. The resulting closed-loop performance is characterized as a function of the induced thermal gradients to indicate the optimality of the designs.","2009-06","2016-04-04 10:53:51","2016-04-04 10:53:51","","2513-2518","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5160180&action=search&sortType=&rowsPerPage=&matchBoolean=true&searchField=Search_All&queryText=(.QT.Representative%20Model.QT.%20AND%20(Clustering%20OR%20Optimization))&newsearch=true","","Aerodynamics; aircraft control; closed-loop performance; closed loop systems; control-oriented analysis; Control systems; Design optimization; Engines; Feedback; Heating; heating reduction; hypersonic flight; hypersonic vehicle; missile control; Open loop systems; Protection; Temperature control; thermal gradients; thermal protection system; Vehicle dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","American Control Conference, 2009. ACC '09.","","","","","","","","","","","","","","",""
"7H857MX2","journalArticle","2006","Song, X.; Fan, G.","Joint Key-Frame Extraction and Object Segmentation for Content-Based Video Analysis","IEEE Transactions on Circuits and Systems for Video Technology","","1051-8215","10.1109/TCSVT.2006.877419","","Key-frame extraction and object segmentation are usually implemented independently and separately due to the fact that they are on different semantic levels and involve different features. In this work, we propose a joint key-frame extraction and object segmentation method by constructing a unified feature space for both processes, where key-frame extraction is formulated as a feature selection process for object segmentation in the context of Gaussian mixture model (GMM)-based video modeling. Specifically, two divergence-based criteria are introduced for key-frame extraction. One recommends key-frame extraction that leads to the maximum pairwise interclass divergence between GMM components. The other aims at maximizing the marginal divergence that shows the intra-frame variation of the mean density. The proposed methods can extract representative key-frames for object segmentation, and some interesting characteristics of key-frames are also discussed. This work provides a unique paradigm for content-based video analysis","2006-07","2016-04-04 11:09:37","2016-04-04 16:54:42","","904-914","","7","16","","","","","","","","","","","","","","","","","","","","","Bridges; Cluster divergence; content-based video analysis; Context modeling; data mining; divergence-based criteria; Engineering profession; feature extraction; feature selection; feature selection process; Gaussian mixture model; Gaussian mixture model-based video modeling; Gaussian processes; Humans; image segmentation; intra-frame variation; key-frame extraction; marginal divergence; maximum pairwise interclass divergence; mean density; Military computing; object segmentation; Region 4; representative key-frames; Shape; Time factors; unified feature space; video signal processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MU57H3I","conferencePaper","2015","Lazarev, V. L.","Representative information models for monitoring and control in the conditions of uncertainty","Soft Computing and Measurements (SCM), 2015 XVIII International Conference on","","","10.1109/SCM.2015.7190408","","In the paper are observed the issues of information models synthesis based on the ""entropy"" approach. There are presented variants of models adapted to different situations. Also are designed recommendations and the criteria for specific options selection. The proposed models are based on the standard statistical characteristics of analyzed parameters usage, and are compact and convenient for solving various problems of monitoring and control, especially in the conditions of uncertainty.","2015-05","2016-04-04 11:15:53","2016-04-04 16:54:53","","54-57","","","","","","","","","","","","","","","","","","","","","","","","Adaptation models; analytical models; conditions of uncertainty; control; entropy; entropy approach; entropy potential; Estimation; information models; information models synthesis; IP networks; monitoring; options selection; parameters usage; representative information models; statistical analysis; statistical characteristics; Uncertainty; uncertainty conditions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZZ3N6SI","journalArticle","1997","Wadie, M. E.; Salama, M. M. A.","New approach for power network clustering using a representative model","Transmission and Distribution IEE Proceedings - Generation","","1350-2360","10.1049/ip-gtd:19970846","","A new power network model that is suitable for network clustering techniques is presented. The method is based on representing the system buses as modules and the connecting branches as nets. The number of nets connecting each pair of modules is chosen to be a function of either a single electrical property or a normalised combination of several properties of the equivalent branch connecting the pair of buses. A heuristic approach, based on the approximation of the constrained network partitioning problem into a linear transportation problem, is used to cluster the network into S clusters each containing m buses. The use of a linear-time bus interchange algorithm provides the best possible cluster configuration. The solution technique provides complete freedom in choosing the electrical properties of the greatest importance to the clustering application. Consequently, the selectivity of the proposed solution technique in the aspect of choosing the electrical connectivity measure is evident","1997-05","2016-04-04 10:53:55","2016-04-04 10:53:55","","279-284","","3","144","","","","","","","","","","","","","","","IEEE Xplore","","","","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=588360&action=search&sortType=&rowsPerPage=&matchBoolean=true&searchField=Search_All&queryText=(.QT.Representative%20Model.QT.%20AND%20(Clustering%20OR%20Optimization))&newsearch=true","","constrained network partitioning problem; electrical connectivity measure; electrical properties; equivalent branch connection; heuristic approach; linear-time bus interchange algorithm; linear transportation; power network clustering; power network model; power systems; representative model; single electrical property","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8G52FWX2","conferencePaper","2012","Papadaskalopoulos, D.; Strbac, G.","Decentralized participation of electric vehicles in network-constrained market operation","2012 3rd IEEE PES International Conference and Exhibition on Innovative Smart Grid Technologies (ISGT Europe)","","","10.1109/ISGTEurope.2012.6465768","","This paper builds on previous work by the authors in developing a novel market mechanism enabling decentralized market participation of flexibly-charging electric vehicles (EV) and addresses the challenge of incorporating the effect of the transmission network on market operation. The formulation of the proposed Lagrangian Relaxation (LR)-based mechanism is extended to account for network capacity constraints. A LR heuristic method introducing location-specific restrictions on flexible EV demand response is developed for producing high quality market clearing solutions without extensive computational requirements. Case studies on a representative model of the UK transmission network demonstrate and quantify the conditions and the extent to which the location-specific LR heuristic improves the solution with respect to previous approaches and the economic value of flexible EV market participation in relieving network congestion.","2012-10","2016-04-04 10:53:33","2016-04-04 10:53:33","","1-8","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6465768&action=search&sortType=&rowsPerPage=&matchBoolean=true&searchField=Search_All&queryText=(.QT.Representative%20Model.QT.%20AND%20(Clustering%20OR%20Optimization))&newsearch=true","","Batteries; decentralized market participation; demand side management; Demand side participation; electricity markets; electric vehicles; flexible EV demand response; flexible EV market participation; flexibly-charging electric vehicles; high quality market clearing solutions; Lagrangian Relaxation; Lagrangian relaxation based mechanism; Load management; location-specific restrictions; LR-based mechanism; LR heuristic method; network capacity constraints; network congestion; network-constrained market operation; Optimal Power Flow; Optimization; power markets; power transmission economics; Sociology; Statistics; UK transmission network; Vectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2012 3rd IEEE PES International Conference and Exhibition on Innovative Smart Grid Technologies (ISGT Europe)","","","","","","","","","","","","","","",""
"98784V4P","conferencePaper","2009","Ntotas, K.; Gibescu, M.; Kling, W. L.; Ummels, B. C.; Pelgrum, E.","Flexible international exchanges: A possible solution for large-Scale wind power integration","PowerTech, 2009 IEEE Bucharest","","","10.1109/PTC.2009.5281968","","A production cost simulation model for the North-Western part of the UCTE system is developed in this paper. Information from various sources was gathered and combined to produce an integrated representative model of the areas under study. Specifically, the technical and economical limits of wind power integration within the power system are highlighted, by means of observing and analyzing various unit commitment schedules under different scenarios. The main question refers to which level of wind penetration the power system can operate in a safe and reliable fashion, while the incoming wind power is completely integrated and correlations between system variables in adjacent areas are taken into account. By answering this question, the system planner will have the flexibility to arrange in the future the power system operation accordingly so as to decrease the operation costs to a minimum and increase the efficiency of the total system to maximum. An investigation of this problem statement can only be executed with global models, which take into account both technical and economic constraints and further optimize the operation of the power system.","2009-06","2016-04-04 10:53:38","2016-04-04 11:21:01","","1-8","","","","","","Flexible international exchanges","","","","","","","","","","","","IEEE Xplore","","","","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=5281968&action=search&sortType=&rowsPerPage=&matchBoolean=true&searchField=Search_All&queryText=(.QT.Representative%20Model.QT.%20AND%20(Clustering%20OR%20Optimization))&newsearch=true","","Constraint optimization; Costs; economic dispatch; flexible international exchanges; power generation dispatch; power generation economics; power generation planning; Power system analysis computing; Power system economics; Power system modeling; power system planning; Power system reliability; Power system simulation; production cost simulation model; Production systems; unit commitment; Wind energy; wind power integration; wind power plants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PowerTech, 2009 IEEE Bucharest","","","","","","","","","","","","","","",""
"C2WUERKA","journalArticle","2011","Gao, Y.; Wang, M.; Zha, Z. J.; Tian, Q.; Dai, Q.; Zhang, N.","Less is More: Efficient 3-D Object Retrieval With Query View Selection","IEEE Transactions on Multimedia","","1520-9210","10.1109/TMM.2011.2160619","","The explosively increasing 3-D objects make their efficient retrieval technology highly desired. Extensive research efforts have been dedicated to view-based 3-D object retrieval for its advantage of using 2-D views to represent 3-D objects. In this paradigm, typically the retrieval is accomplished by matching the views of the query object with the objects in database. However, using all the query views may not only introduce difficulty in rapid retrieval but also degrade retrieval accuracy when there is a mismatch between the query views and the object views in the database. In this work, we propose an interactive 3-D object retrieval scheme. Given a set of query views, we first perform clustering to obtain several candidates. We then incrementally select query views for object matching: in each round of relevance feedback, we only add the query view that is judged to be the most informative one based on the labeling information. In addition, we also propose an efficient approach to learn a distance metric for the newly selected query view and the weights for combining all of the selected query views. We conduct experiments on the National Taiwan University 3D Model database, ETH 3D object collection, and Shape Retrieval Content of Non-Rigid 3D Model, and results demonstrated that our approach not only significantly speeds up the retrieval process but also achieves encouraging retrieval performance.","2011-10","2016-04-04 11:09:37","2016-04-04 16:54:45","","1007-1018","","5","13","","","","","","","","","","","","","","","","","","","","","2D views; 3-D object retrieval; 3D object retrieval scheme; Cameras; Computational modeling; Databases; ETH 3D object collection; feature extraction; Intelligent query; multi-view; National Taiwan University 3D Model database; nonrigid 3D model shape retrieval content; pattern clustering; query processing; query view clustering; query view selection; Radio frequency; relevance feedback; representative query view; Solid modeling; solid modelling; Three dimensional displays; view matching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
