"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2JR39RH2","journalArticle","2014","Tu, E.; Cao, L.; Yang, J.; Kasabov, N.","A novel graph-based k-means for nonlinear manifold clustering and representative selection","Neurocomputing","","0925-2312","10.1016/j.neucom.2014.05.067","","Many real-world applications expose the nonlinear manifold structure of the lower dimension rather than its high-dimensional input space. This greatly challenges most existing clustering and representative selection algorithms which do not take the manifold characteristics into consideration. The performance of the corresponding learning algorithms can be greatly improved if the manifold structure is considered. In this paper, we propose a graph-based k-means algorithm, GKM, which bears the simplicity of classic k-means while incorporating global information of data geometric distribution. GKM fully exploits the intrinsic manifold structure for appropriate data clustering and representative selection. GKM is evaluated on both synthetic and real-life data sets and achieves very impressive results compared to the state-of-the-art approaches, including classic k-means, kernel k-means, spectral clustering, and clustering through ranking and for representative selection. Given the widespread appearance of manifold structures in real world problems, GKM shows promising potential for partitioning manifold-distributed data. © 2014 Elsevier B.V.","2014","2016-04-04 17:48:05","2016-04-04 17:48:05","","109-122","","","143","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/27D45W9Z/display.html","","","Graph learning; K-means; Manifold clustering; Random walk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KV3R4CU","journalArticle","2015","Kasperski, A.; Kurpisz, A.; Zieliński, P.","Approximability of the robust representatives selection problem","Operations Research Letters","","0167-6377","10.1016/j.orl.2014.10.007","","In this paper new complexity and approximation results on the robust versions of the representatives selection problem, under the scenario uncertainty representation, are provided, which extend the results obtained in the recent papers by Dolgui and Kovalev (2012) and Deineko and Woeginger (2013). Namely, it is shown that if the number of scenarios is a part of input, then the min-max (regret) representatives selection problem is not approximable within a ratio of O(log1-εK) for any ε&gt;0, where K is the number of scenarios, unless the problems in NP have quasi-polynomial time algorithms. An approximation algorithm with an approximation ratio of O(logK/loglogK) for the min-max version of the problem is also provided. © 2014 Elsevier B.V. All rights reserved.","2015","2016-04-04 17:48:05","2016-04-04 17:48:05","","16-19","","1","43","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/GQCU7RPE/display.html","","","Computational complexity; Robust optimization; Selection problem; Uncertainty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2S277UP5","manuscript","2015","Bianchi, F.M.; Livi, L.; Rizzi, A.","Two density-based k-means initialization algorithms for non-metric data clustering","","","","","","In this paper, we propose a density-based clusters’ representatives selection algorithm that identifies the most central patterns from the dense regions in the dataset. The method, which has been implemented using two different strategies, is applicable to input spaces with no trivial geometry. Our approach exploits a probability density function built through the Parzen estimator, which relies on a (not necessarily metric) dissimilarity measure. Being a representatives extractor a general-purpose algorithm, our method is obviously applicable in different contexts. However, to test the proposed procedure, we specifically consider the problem of initializing the k-means algorithm. We face problems defined on standard real-valued vectors, labeled graphs, and finally sequences of real-valued vectors and sequences of characters. The obtained results demonstrate the effectiveness of the proposed representative selection method with respect to other state-of-the-art solutions. © 2015 Springer-Verlag London","2015","2016-04-04 17:48:05","2016-04-04 17:48:05","","","","","","","","","","","","","","","English","","Article in Press","Scopus","","Scopus","","DOI: 10.1007/s10044-014-0440-4","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/9Z696VAU/display.html","","","Clustering; Dissimilarity measures; k-means initialization; Non-metric domains; Prototype selection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VUWZRQP","journalArticle","2012","Höche, S.; Krauss, F.; Schonherr, M.; Siegert, F.","A critical appraisal of NLO+PS matching methods","Journal of High Energy Physics","","1126-6708","10.1007/JHEP09(2012)049","","In this publication, uncertainties in and differences between the Mc@Nlo and Powheg methods for matching next-to-leading order QCD calculations with parton showers are discussed. Implementations of both algorithms within the event generator Sherpa and based on Catani-Seymour subtraction are employed to assess the impact on a representative selection of observables. In the case of Mc@Nlo a substantial simplification is achieved by using dipole subtraction terms to generate the first emission. A phase space restriction is employed, which allows to vary in a transparent way the amount of nonsingular radiative corrections that are exponentiated. Effects on various observables are investigated, using the production of a Higgs boson in gluon fusion, with or without an associated jet, as a benchmark process. The case of H+jet production is presented for the first time in an NLO+PS matched simulation. Uncertainties due to scale choices and non-perturbative effects are explored in the production of W ± and Z bosons in association with a jet. Corresponding results are compared to data from the Tevatron and LHC experiments..","2012","2016-04-04 17:48:05","2016-04-04 17:48:05","","","","9","2012","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/ZHASKDKW/display.html","","","QCD phenomenology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32HJ9H28","journalArticle","2014","Zheng, H.-T.; Gong, S.-Q.; Chen, H.; Jiang, Y.; Xia, S.-T.","Multi-document summarization based on sentence clustering","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","0302-9743","","","A main task of multi-document summarization is sentence selection. However, many of the existing approaches only select top ranked sentences without redundancy detection. In addition, some summarization approaches generate summaries with low redundancy but they are supervised. To address these issues, we propose a novel method named Redundancy Detection-based Multi-document Summarizer (RDMS). The proposed method first generates an informative sentence set, then applies sentence clustering to detect redundancy. After sentence clustering, we conduct cluster ranking, candidate selection, and representative selection to eliminate redundancy. RDMS is an unsupervised multi-document summarization system and the experimental results on DUC 2004 and DUC 2005 datasets indicate that the performance of RDMS is better than unsupervised systems and supervised systems in terms of ROUGE-1, ROUGE-L and ROUGE-SU. © Springer International Publishing Switzerland 2014.","2014","2016-04-04 17:48:05","2016-04-04 17:48:05","","429-436","","","8835","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/5X4UDIXZ/display.html","","","Multi-document summarization; Redundancy detection; Representative selection; Sentence clustering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34WIT6T3","journalArticle","2013","Suprapto; Wardoyo, R.","Algorithms of the combination of compiler optimization options for automatic performance tuning","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","0302-9743","10.1007/978-3-642-36818-9_10","","It is very natural when people compile their programs, they would require a compiler that gives the best program performance. Even though today's compiler have reached the point in which they provide the users a large number of options, however, because of the unavailability of program input data and insufficient knowledge of the target architecture; it can still seriously limit the accuracy of compile-time performance models. Thus, the problem is how to choose the best combination of optimization options provided by compiler for a given program or program section. This gives rise the requirement of an orchestration algorithm that fast and effective to search for the best optimization combination for a program. There have been several algorithms developed, such as Exhaustive Search (ES); Batch Elimination (BE); Iterative Elimination (IE); Combined Elimination (CE); Optimization Space Exploration (OSE); and Statistical Selection (SS). Based on those of algorithms, in this paper we proposed Heuristics Elimination (HE) algorithm, a simple algorithm that was mostly inspired by OSE with some differences. The HE algorithm uses a heuristic approach by applying genetic algorithm to find the best combination of compiler's optimization options. It is unlike OSE, however, this proposed algorithm starts from a set of some possible combinations randomly selected, then they are iteratively refined by some genetic operators to find one optimal combination (as the solution). © 2013 Springer-Verlag.","2013","2016-04-04 17:51:10","2016-04-04 17:51:10","","91-100","","","7804 LNCS","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/9GR9DDIU/display.html","","","batch elimination; combined elimination; Compiler optimization; exhaustive search; iterative elimination; optimization options; optimization space exploration; orchestration algorithm; performance; statistical selection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3AKVMIG9","journalArticle","2004","Lam, R.L.; Welch, W.J.","Comparison of methods based on diversity and similarity for molecule selection and the analysis of drug discovery data.","Methods in molecular biology (Clifton, N.J.)","","1064-3745","","","The concepts of diversity and similarity of molecules are widely used in quantitative methods for designing (selecting) a representative set of molecules and for analyzing the relationship between chemical structure and biological activity. We review methods and algorithms for design of a diverse set of molecules in the chemical space using clustering, cell-based partitioning, or other distance-based approaches. Analogous cell-based and clustering methods are described for analyzing drug-discovery data to predict activity in virtual screening. Some performance comparisons are made. The choice of descriptor variables to characterize chemical structure is also included in the comparative study. We find that the diversity of a selected set is quite sensitive to both the statistical selection method and the choice of molecular descriptors and that, for the dataset used in this study, random selection works surprisingly well in providing a set of data for analysis.","2004","2016-04-04 17:51:10","2016-04-04 17:51:10","","301-316","","","275","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/VN27UHG3/display.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ISWU2NT","journalArticle","2002","Collins, A.L.; Walling, D.E.","Selecting fingerprint properties for discriminating potential suspended sediment sources in river basins","Journal of Hydrology","","0022-1694","10.1016/S0022-1694(02)00011-2","","The absence of guidelines for pre-selecting the most effective combination of properties for inclusion in a composite fingerprint represents a key methodological uncertainty hampering the wider adoption of the fingerprinting approach for identifying suspended sediment sources. This contribution reports a preliminary attempt to address this issue by testing the discrimination of potential sediment sources within a number of contrasting river basins in the UK and Africa, afforded by a range of sediment properties. Statistical analysis confirms that there is no single diagnostic property capable of discriminating the range of potential suspended sediment sources in the study basins. The use of composite fingerprints based on several constituents drawn from a single group of properties consistently improves sediment source discrimination. However, the level of discrimination afforded by a particular combination of properties is not consistent between the study catchments. Composite fingerprints incorporating constituents selected from several groups of properties using a stepwise statistical selection procedure consistently provide the most robust discrimination of potential sediment sources. Whilst it is not possible to identify a universally applicable optimum composite fingerprint, the results suggest that at present, the most effective means of optimising sediment source discrimination is to identify a number of groups of properties for subsequent use in the establishment of a composite fingerprint. More specifically, this study suggests that measurements of a combination of acid and pyrophosphate-dithionite extractable metals, base cations and organic constituents should provide an effective basis for establishing composite fingerprints for discriminating individual sediment source types. Radiometric properties can also provide useful information for improving sediment source discrimination. The final choice of the groups of properties will necessarily reflect the laboratory facilities available. © 2002 Elsevier Science B.V. All rights reserved.","2002","2016-04-04 17:51:10","2016-04-04 17:51:10","","218-244","","1-4","261","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/2A89EKA6/display.html","","","Composite fingerprints; Fingerprint properties; River basins; Sediment source discrimination; Source fingerprinting; Suspended sediment sources","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49NI38Z3","journalArticle","2008","Iché-Tarrat, N.; Marsden, C.J.","Examining the performance of DFT methods in uranium chemistry: Does core size matter for a pseudopotential?","Journal of Physical Chemistry A","","1089-5639","10.1021/jp801124u","","We have investigated the performance of DFT in U(VI) chemistry. A large, representative selection of functionals has been tested, in combination with two ECPs developed in Stuttgart that have different-sized cores (60 and 78 electrons for U). In addition, several tests were undertaken with another 14 electron pseudopotential, which was developed in Los Alamos. The experimental database contained vibrational wavenumbers, thermochemical data, and 19F chemical shifts for molecules of the type UF6-nCl n. For the prediction of vibrational wavenumbers, the large-core RECP (14 electrons) gives results that are at least as good as those obtained with the small-core RECP (32 electrons). GGA functionals are as successful as hybrid GGA for vibrational spectroscopy; typical errors are only a few percent with the Stuttgart pseudopotentials. For thermochemistry, hybrid versions of DFT are more successful than GGA, LDA, or meta-GGA. Marginally better results are obtained with a 32 electron ECP than with 14; since the experimental uncertainties are at least 25 kJ/mol for each reaction, the best functionals give results that are essentially indistinguishable from experiment. However, large-basis CCSD(T) results match experiment better than any DFT that we examined. Our findings for NMR spectroscopy are rather disappointing; no combination of pseudopotential, functional, and basis yields even a qualitatively correct prediction of trends in the 19F chemical shifts of UF6-nCln species. Results yielded by the large-core RECP are, in general, slightly less bad than those obtained with the small core. We conclude that DFT cannot be recommended for predictions of NMR spectra in this series of compounds, though this conclusion should not be generalized. Our most important result concerns the good performance of the large-core Stuttgart pseudopotential. Given its computational efficiency, we recommend that it be used with DFT methods for the prediction of molecular geometries, vibrational frequencies, and thermochemistry of a given oxidation state. The hybrid GGA functionals MPW1PW91 and PBEO give the best results overall. © 2008 American Chemical Society.","2008","2016-04-04 17:48:05","2016-04-04 17:48:05","","7632-7642","","33","112","","","Examining the performance of DFT methods in uranium chemistry","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/EXQXF75W/display.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4A3IZVK8","journalArticle","2008","Song, H.; Feng, H.-Y.","A global clustering approach to point cloud simplification with a specified data reduction ratio","CAD Computer Aided Design","","0010-4485","10.1016/j.cad.2007.10.013","","This paper studies the problem of point cloud simplification by searching for a subset of the original input data set according to a specified data reduction ratio (desired number of points). The unique feature of the proposed approach is that it aims at minimizing the geometric deviation between the input and simplified data sets. The underlying simplification principle is based on clustering of the input data set. The cluster representation essentially partitions the input data set into a fixed number of point clusters and each cluster is represented by a single representative point. The set of the representatives is then considered as the simplified data set and the resulting geometric deviation is evaluated against the input data set on a cluster-by-cluster basis. Due to the fact that the change to a representative selection only affects the configuration of a few neighboring clusters, an efficient scheme is employed to update the overall geometric deviation during the search process. The search involves two interrelated steps. It first focuses on a good layout of the clusters and then on fine tuning the local composition of each cluster. The effectiveness and performance of the proposed approach are validated and illustrated through case studies using synthetic as well as practical data sets. © 2007 Elsevier Ltd. All rights reserved.","2008","2016-04-04 17:48:05","2016-04-04 17:48:05","","281-292","","3","40","","","","","","","","","","English","","","Scopus","","Scopus","","","","/home/gschardong/.zotero/zotero/nah1hk19.default/zotero/storage/5EPWVNJE/display.html","","","Clustering; Data reduction; Geometric deviation; Point cloud data; Simplification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
